variable,unit,mean,sample size,standard dev.,standard error,95% CI,trend,trend p-value
TSA,K,282.269,33, 0.269, 0.008, 0.016, 282.353 + -0.005 t, 0.336
PREC,mm d$^{-1}$,2.357,33, 0.045, 0.001, 0.003, 2.342 +  0.001 t, 0.276
ELAI,m${-2}$ m${-2}$,1.004,33, 0.046, 0.001, 0.003, 1.029 + -0.001 t, 0.100
FSDS,W m$^{-2}$,199.764,33, 0.502, 0.015, 0.030, 199.511 +  0.015 t, 0.112
FLDS,W m$^{-2}$,305.567,33, 1.702, 0.052, 0.101, 306.056 + -0.029 t, 0.371
ASA,% reflected,28.717,33, 0.130, 0.004, 0.008, 28.730 + -0.001 t, 0.762
RNET,W m$^{-2}$,74.081,33, 0.399, 0.012, 0.024, 74.051 +  0.002 t, 0.819
FSH,W m$^{-2}$,35.177,33, 0.426, 0.013, 0.025, 34.979 +  0.012 t, 0.144
ET,W m$^{-2}$,37.941,33, 0.481, 0.015, 0.029, 37.919 +  0.001 t, 0.889
FCTR,W m$^{-2}$,17.978,33, 0.441, 0.013, 0.026, 18.179 + -0.012 t, 0.152
FGEV,W m$^{-2}$,12.083,33, 0.369, 0.011, 0.022, 11.747 +  0.020 t, 0.002
FCEV,W m$^{-2}$,7.880,33, 0.173, 0.005, 0.010, 7.993 + -0.007 t, 0.035
QRUNOFF_TO_COUPLER,mm d$^{-1}$,0.987,33, 0.0309, 0.000937, 0.00184, 0.966 +  0.00122 t, 0.0311
SNOWDP,m,2.278,33, 0.017, 0.001, 0.001, 2.306 + -0.002 t, 0.000
GPP,PgC y$^{-1}$,84.757,33, 2.207, 0.067, 0.131, 84.546 +  0.012 t, 0.767
NPP,PgC y$^{-1}$,34.094,33, 0.785, 0.024, 0.047, 33.374 +  0.042 t, 0.002
NEE,PgC y$^{-1}$,4.303,33, 1.712, 0.052, 0.102, 7.119 + -0.166 t, 0.000
NBP,PgC y$^{-1}$,-4.837,33, 1.711, 0.052, 0.102,-7.652 +  0.166 t, 0.000
BTRANMN,unitless,0.574,33, 0.00583, 0.000177, 0.000346, 0.567 +  0.000449 t, 1.19e-06
TOTVEGC,PgC,441.125,33, 28.223, 0.855, 1.676, 490.184 + -2.886 t, 0.000
TOTECOSYSC,gC/m^2,19363.195,33, 304.243, 9.219, 18.070, 19900.357 + -31.598 t, 0.000
TOTSOMC_1m,PgC,1581.144,33, 9.380, 0.284, 0.557, 1597.880 + -0.984 t, 0.000
ALTMAX,m,32.422,33, 0.402, 0.012, 0.024, 31.710 +  0.042 t, 0.000
FAREA_BURNED,s-1,2.82e-09,33, 2.41e-10, 7.3e-12, 1.43e-11, 3.1e-09 + -1.66e-11 t, 3.36e-05
DSTFLXT,Pg y$^{-1}$,8.290,33, 0.359, 0.011, 0.021, 8.403 + -0.007 t, 0.325
MEG_isoprene,Tg y$^{-1}$,486.606,33, 54.579, 1.654, 3.242, 531.441 + -2.637 t, 0.007
